
  0%|                                                                                                                                                                                                                                                          | 0/9000 [00:00<?, ?it/s]
0.0004
time for getitem:  0.0010035037994384766
time for getitem:  0.0006983280181884766
time for getitem:  0.0008525848388671875
time for getitem:  0.0005362033843994141
time for getitem:  0.0006489753723144531
time for getitem:  0.0008604526519775391
time for getitem:  0.0010297298431396484
time for getitem:  0.0006628036499023438
time for getitem:  0.0007724761962890625
time for getitem:  0.0007693767547607422
time for getitem:  0.0005867481231689453
time for getitem:  0.0005865097045898438
time for getitem:  0.0005214214324951172
time for getitem:  0.0004963874816894531
time for getitem:  0.0008029937744140625
time for getitem:  0.0006916522979736328
time for getitem:  0.0007870197296142578
time for getitem:  0.0007295608520507812
time for getitem:  0.0004227161407470703
time for getitem:  0.0009250640869140625
time for getitem:  0.0007295608520507812
time for getitem:  0.0010216236114501953
time for getitem:  0.0006268024444580078
time for getitem:  0.0002734661102294922
time for getitem:  0.0010077953338623047
time for getitem:  0.001055002212524414
time for getitem:  0.0007498264312744141
time for getitem:  0.0009551048278808594
time for getitem:  0.0005791187286376953
time for getitem:  0.000530242919921875
time for getitem:  0.0005304813385009766
time for getitem:  0.0006504058837890625
time for getitem:  0.0007066726684570312
time for getitem:  0.0011169910430908203
time for getitem:  0.0007550716400146484
time for getitem:  0.0007405281066894531
time for getitem:  0.0007510185241699219
time for getitem:  0.0004978179931640625
time for getitem:  0.0006992816925048828
time for getitem:  0.0005114078521728516
time for getitem:  0.00081634521484375
time for getitem:  0.0005257129669189453
time for getitem:  0.00029659271240234375
time for getitem:  0.0007238388061523438
time for getitem:  0.0004982948303222656
time for getitem:  0.0006189346313476562
time for getitem:  0.000370025634765625
time for getitem:  0.0006566047668457031
time for getitem:  0.0006747245788574219
time for getitem:  0.0004699230194091797
time for getitem:  0.00040340423583984375
time for getitem:  0.0011532306671142578
time for getitem:  0.0009002685546875
time for getitem:  0.0007092952728271484
time for getitem:  0.0005166530609130859
time for getitem:  0.0004134178161621094
time for getitem:  0.0006415843963623047
time for getitem:  0.0008816719055175781
time for getitem:  0.0006103515625
time for getitem:  0.0006680488586425781
time for getitem:  0.0010576248168945312
time for getitem:  0.0005617141723632812
time for getitem:  0.0006906986236572266
time for getitem:  0.0007126331329345703
time for getitem:  0.0005097389221191406
time for getitem:  0.0007936954498291016
time for getitem:  0.0005450248718261719
time for getitem:  0.005244016647338867
time for getitem:  0.0008270740509033203
time for getitem:  0.0004966259002685547
time for getitem:  0.0006818771362304688
time for getitem:  0.0012717247009277344
time for getitem:  0.0005791187286376953
time for getitem:  0.0004937648773193359
time for getitem:  0.00039768218994140625
time for getitem:  0.0004589557647705078
time for getitem:  0.0006923675537109375
time for getitem:  0.0005035400390625
time for getitem:  0.0006353855133056641
time for getitem:  0.0008389949798583984
time for getitem:  0.0004687309265136719
time for getitem:  0.0007174015045166016
time for getitem:  0.0008144378662109375
time for getitem:  0.0007922649383544922
time for getitem:  0.0005345344543457031
time for getitem:  0.0006380081176757812
time for getitem:  0.0007700920104980469
time for getitem:  0.0006718635559082031
time for getitem:  0.000507354736328125
time for getitem:  0.0009126663208007812
time for getitem:  0.0010178089141845703
time for getitem:  0.0006632804870605469
time for getitem:  0.0007021427154541016
time for getitem:  0.0007295608520507812
time for getitem:  0.0007255077362060547
time for getitem:  0.0003380775451660156
time for getitem:  0.0005300045013427734
time for getitem:  0.0006742477416992188
time for getitem:  0.0007832050323486328
time for getitem:  0.0009865760803222656
time for getitem:  0.0003006458282470703
time for getitem:  0.000823974609375
time for getitem:  0.0004904270172119141
time for getitem:  0.0004401206970214844
time for getitem:  0.0005080699920654297
time for getitem:  0.0008804798126220703
time for getitem:  0.0004684925079345703
time for getitem:  0.00041294097900390625
time for getitem:  0.0007994174957275391
time for getitem:  0.0005693435668945312
time for getitem:  0.00047469139099121094
time for getitem:  0.0015511512756347656
time for getitem:  0.0006890296936035156
time for getitem:  0.0010001659393310547
time for getitem:  0.0010044574737548828
time for getitem:  0.0008065700531005859
time for getitem:  0.0006525516510009766
time for getitem:  0.0004725456237792969
time for getitem:  0.0009491443634033203
time for getitem:  0.0006084442138671875
time for getitem:  0.0007557868957519531
time for getitem:  0.0006940364837646484
time for getitem:  0.0005071163177490234
time for getitem:  0.0017442703247070312
time for getitem:  0.0008053779602050781
time for getitem:  0.0013260841369628906
time for getitem:  0.0006215572357177734
time for getitem:  0.0005376338958740234
time for getitem:  0.0007472038269042969
time for getitem:  0.0004706382751464844
time for getitem:  0.0009818077087402344
